Sample in Buffer,Sample in Window,TRIGGER,mipi_phy_inst/lane1_byte_data[7:0],mipi_phy_inst/lane0_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
259,259,0,ff,ff
260,260,0,ff,ff
261,261,0,ff,ff
262,262,0,ff,ff
263,263,0,ff,ff
264,264,0,ff,ff
265,265,0,ff,ff
266,266,0,ff,ff
267,267,0,ff,ff
268,268,0,ff,ff
269,269,0,ff,ff
270,270,0,ff,ff
271,271,0,ff,ff
272,272,0,ff,ff
273,273,0,ff,ff
274,274,0,ff,ff
275,275,0,ff,ff
276,276,0,ff,ff
277,277,0,ff,ff
278,278,0,ff,ff
279,279,0,ff,ff
280,280,0,ff,ff
281,281,0,ff,ff
282,282,0,ff,ff
283,283,0,ff,ff
284,284,0,ff,ff
285,285,0,ff,ff
286,286,0,ff,ff
287,287,0,ff,ff
288,288,0,ff,ff
289,289,0,ff,ff
290,290,0,ff,ff
291,291,0,ff,ff
292,292,0,ff,ff
293,293,0,ff,ff
294,294,0,ff,ff
295,295,0,ff,ff
296,296,0,ff,ff
297,297,0,ff,ff
298,298,0,ff,ff
299,299,0,ff,ff
300,300,0,ff,ff
301,301,0,ff,ff
302,302,0,ff,ff
303,303,0,ff,ff
304,304,0,ff,ff
305,305,0,ff,ff
306,306,0,ff,ff
307,307,0,ff,ff
308,308,0,ff,ff
309,309,0,ff,ff
310,310,0,7f,ff
311,311,0,0,7
312,312,0,0,0
313,313,0,0,0
314,314,0,0,0
315,315,0,0,0
316,316,0,fc,80
317,317,0,ff,ff
318,318,0,0,0f
319,319,0,0,0
320,320,0,0,0
321,321,0,0,0
322,322,0,0,0
323,323,0,b8,80
324,324,0,a3,2b
325,325,0,8,0
326,326,0,ff,f0
327,327,0,ff,ff
328,328,0,ff,ff
329,329,0,ff,ff
330,330,0,ff,f7
331,331,0,ff,ff
332,332,0,ff,ff
333,333,0,ff,ff
334,334,0,ff,ff
335,335,0,ff,ff
336,336,0,ff,ff
337,337,0,ff,ff
338,338,0,7,7f
339,339,0,0,0
340,340,0,0,0
341,341,0,0,0
342,342,0,0,0
343,343,0,c0,0
344,344,0,ff,f8
345,345,0,0f,ff
346,346,0,0,0
347,347,0,0,0
348,348,0,0,0
349,349,0,0,0
350,350,0,80,0
351,351,0,0b,b8
352,352,0,d6,2b
353,353,0,c1,9
354,354,0,20,3
355,355,0,51,4
356,356,0,50,f0
357,357,0,70,14
358,358,0,5e,0e
359,359,0,e1,8
360,360,0,a0,5
361,361,0,a0,67
362,362,0,60,11
363,363,0,43,15
364,364,0,a1,5
365,365,0,f1,9
366,366,0,d1,b2
367,367,0,1,28
368,368,0,d3,2f
369,369,0,73,28
370,370,0,4,2c
371,371,0,f4,12
372,372,0,93,3b
373,373,0,de,3e
374,374,0,c3,33
375,375,0,33,3c
376,376,0,83,4b
377,377,0,b3,45
378,378,0,54,3e
379,379,0,e4,38
380,380,0,93,3d
381,381,0,83,a4
382,382,0,33,41
383,383,0,dc,46
384,384,0,93,3d
385,385,0,84,47
386,386,0,a3,8e
387,387,0,23,3c
388,388,0,36,37
389,389,0,24,39
390,390,0,24,4b
391,391,0,f4,4b
392,392,0,63,42
393,393,0,e1,46
394,394,0,23,3b
395,395,0,b4,32
396,396,0,53,40
397,397,0,83,43
398,398,0,31,4d
399,399,0,44,41
400,400,0,4,38
401,401,0,74,4f
402,402,0,84,3f
403,403,0,4a,42
404,404,0,34,3e
405,405,0,44,36
406,406,0,d4,a5
407,407,0,a3,3b
408,408,0,18,47
409,409,0,84,42
410,410,0,64,3e
411,411,0,e3,d8
412,412,0,e3,37
413,413,0,73,43
414,414,0,f4,3b
415,415,0,93,3c
416,416,0,83,1
417,417,0,83,47
418,418,0,d6,43
419,419,0,e4,40
420,420,0,f3,40
421,421,0,33,1
422,422,0,a4,4d
423,423,0,cd,3d
424,424,0,63,3f
425,425,0,d3,40
426,426,0,13,85
427,427,0,34,43
428,428,0,a9,3d
429,429,0,c3,3f
430,430,0,3,46
431,431,0,14,2e
432,432,0,4,38
433,433,0,5c,48
434,434,0,84,40
435,435,0,54,3f
436,436,0,24,3f
437,437,0,f4,45
438,438,0,8c,46
439,439,0,23,46
440,440,0,c4,45
441,441,0,e3,c0
442,442,0,44,4b
443,443,0,90,47
444,444,0,44,43
445,445,0,44,44
446,446,0,24,26
447,447,0,c4,44
448,448,0,1d,48
449,449,0,f4,41
450,450,0,43,3b
451,451,0,44,8c
452,452,0,93,40
453,453,0,6a,47
454,454,0,93,43
455,455,0,4,39
456,456,0,c4,fb
457,457,0,43,3f
458,458,0,f1,43
